Model,Task,RMSE_mean,RMSE_std,R2_mean,R2_std
Linear Regression,Regression,0.48955516631134743,0.003585584901163538,0.22814807404363627,0.003210715212089846
Random Forest,Regression,0.492297495050796,0.003848611237816834,0.2194595359623749,0.006815671331156581
