idAnimale,measurement_date,fat,protein,casein,lactose,sfa,ufa,newly_fa,mixed_fa,preformed_fa,c18_0,c18_1,ph,freezing,rennet,k20,a30,iac,scc,bhba,urea,acetone,ec,calving_date,lactation,DIM,scc_log,fat_protein_ratio,casein_protein_ratio,ufa_sfa_ratio,lactation_stage,parity_group
-9223372036848173056,2023-09-22,3.64,3.32,2.64,5.04,1.968,1.317,0.698,1.058,1.532,0.405,0.792,6.6,-0.522,19.16,3.94,19.1,101,78,0.12,26.8,0.12,7536,2023-08-12,4,41,1.89762709129044,1.09638554216867,0.795180722891566,0.669207317073171,early,mature_multiparous
-9223372036848169984,2023-01-16,4.29,3.94,3.19,5.18,2.429,1.445,0.764,1.262,1.799,0.378,0.974,6.46,-0.572,12.85,1.61,29.85,108,9,0.02,27.1,0.01,9312,2022-09-30,4,108,1,1.08883248730964,0.809644670050761,0.594895018526142,mid,mature_multiparous
-9223372036848167936,2021-12-27,2.73,2.85,2.19,4.82,1.509,0.955,0.56,0.805,1.092,0.287,0.509,6.66,-0.513,20.22,4.91,16.6,100,271,0.07,5.8,0.02,8864,2021-12-05,3,22,2.4345689040342,0.957894736842105,0.768421052631579,0.632869449966865,early,mature_multiparous
-9223372036848128000,2023-10-22,4.13,3.47,2.81,4.72,2.439,1.288,0.906,1.389,1.478,0.331,0.731,6.6,-0.519,21.45,3.75,19.02,100,207,0.08,24.8,0.03,8400,2023-06-04,5,140,2.31806333496276,1.19020172910663,0.809798270893372,0.528085280852808,mid,mature_multiparous
-9223372036848126976,2025-06-26,5.14,2.8,2.26,4.85,2.504,2.133,0.805,1.348,2.259,0.544,1.343,6.47,-0.518,13.78,3.37,24.55,106,24,0.06,21.1,0.07,7984,2025-05-21,6,36,1.39794000867204,1.83571428571429,0.807142857142857,0.851837060702875,early,mature_multiparous
-9223372036848125952,2022-12-05,1.88,3.8,3.03,4.83,1.147,0.549,0.475,0.723,0.454,0.115,0.122,6.85,-0.527,22.41,2.84,23.14,101,45,0.05,16,0.13,9392,2022-10-15,4,51,1.66275783168157,0.494736842105263,0.797368421052632,0.478639930252834,early,mature_multiparous
-9223372036848122880,2022-11-29,2.63,3.46,2.67,4.54,1.385,0.988,0.51,0.738,1.145,0.309,0.606,6.69,-0.52,13.29,0.21,40.12,111,166,0.08,15.9,0.18,9680,2022-11-13,4,16,2.22271647114758,0.760115606936416,0.771676300578035,0.713357400722022,early,mature_multiparous
-9223372036848121856,2024-03-09,4.53,3.16,2.48,4.97,2.867,1.222,0.918,1.684,1.524,0.387,0.721,6.57,-0.537,17.99,4.55,20.01,102,21,0.08,23.5,0.12,8496,2023-10-11,4,150,1.34242268082221,1.43354430379747,0.784810126582278,0.426229508196721,mid,mature_multiparous
-9223372036848120832,2023-02-13,2.94,3.2,2.53,4.91,1.809,0.846,0.594,1.005,1.093,0.213,0.469,6.62,-0.54,15.95,3.66,14.36,102,44,0.07,8,0.09,9440,2022-10-10,4,126,1.65321251377534,0.91875,0.790625,0.467661691542289,mid,mature_multiparous
-9223372036848119808,2023-01-23,3.63,3.31,2.59,4.78,2.336,0.941,0.837,1.35,1.185,0.332,0.588,6.63,-0.536,23.06,5.04,12.33,97,104,0.28,10.1,0.13,9408,2022-10-21,4,94,2.02118929906994,1.09667673716012,0.782477341389728,0.402825342465753,mid,mature_multiparous
-9223372036848118784,2023-11-16,5.03,3.56,2.86,4.92,2.98,1.56,1.219,1.808,1.632,0.495,1.032,6.67,-0.512,29.5,6.97,15.76,94,17,0.03,15,0.02,7360,2023-11-03,5,13,1.25527250510331,1.41292134831461,0.803370786516854,0.523489932885906,early,mature_multiparous
