fold,lm_rmse,lm_r2,lasso_rmse,lasso_r2,rf_rmse,rf_r2,xgb_rmse,xgb_r2
1,0.032070945153095956,0.6530926182157547,0.03200712732664016,0.6544718633835187,0.0367186922909227,0.5452586628065039,0.033726740415867096,0.6163468546431019
2,0.03510536236073865,0.6746364654399606,0.03507627698255817,0.675175380326626,0.04199707865093723,0.5343494501834711,0.03907398873463214,0.596914244718677
3,0.03141296272512534,0.5454142793737623,0.0316115183472117,0.5396494101634426,0.033288767171354525,0.48950274059499155,0.03322696569461145,0.4913964843984816
4,0.032987829985224815,0.5155202041127753,0.0329105044682794,0.5177888433834663,0.03620369905807143,0.41645538236143853,0.03693959520599077,0.3924913873053092
5,0.029587930428147797,0.5583764997730987,0.029456322959905787,0.5622964555523605,0.030516916314627572,0.5302094339907368,0.030865425471076614,0.5194179630935664
