fold,lm_rmse,lm_r2,ridge_rmse,ridge_r2,lasso_rmse,lasso_r2,en_rmse,en_r2,et_rmse,et_r2,rf_rmse,rf_r2,xgb_rmse,xgb_r2,svr_rmse,svr_r2
1,0.03207094515309578,0.6530926182157584,0.03203211101084046,0.6539322376367716,0.03200712732664016,0.6544718633835187,0.03198237702239161,0.655006033159264,0.035341418629554984,0.5787324762647054,0.0367186922909227,0.5452586628065039,0.033726740415867096,0.6163468546431019,0.03753267096372622,0.5248738146511891
2,0.03510536236073884,0.6746364654399568,0.03501528412438861,0.6763040495295349,0.03507627698255817,0.675175380326626,0.03515606880273655,0.6736958716948067,0.040018652941755474,0.5771884050673616,0.04199707865093723,0.5343494501834711,0.03907398873463214,0.596914244718677,0.04366327507916021,0.4966679643309374
3,0.03141296272512535,0.545414279373762,0.03147661179097531,0.5435702464013263,0.0316115183472117,0.5396494101634426,0.03153858944593938,0.5417710504751886,0.03307019968597679,0.49618438199023396,0.033288767171354525,0.48950274059499155,0.03322696569461145,0.4913964843984816,0.03470495543896384,0.44514312204484874
4,0.032987829985225,0.5155202041127698,0.033022362268071516,0.514505348022295,0.0329105044682794,0.5177888433834663,0.03292079730271939,0.5174871709645795,0.03551066984961899,0.4385825535108486,0.03620369905807143,0.41645538236143853,0.03693959520599077,0.3924913873053092,0.033746943835485245,0.49296601157596454
5,0.029587930428147828,0.5583764997730978,0.029552306743721213,0.5594392834967699,0.029456322959905787,0.5622964555523605,0.029461443726417295,0.5621442591985257,0.029649957147560146,0.5565229622897616,0.030516916314627572,0.5302094339907368,0.030865425471076614,0.5194179630935664,0.0333336989169543,0.43948141803700447
